Feature,Importance,Std
GenHlth,0.05725082713998163,0.0009981851759106443
BMI,0.03819904285002625,0.000994409261156163
Age,0.03277418027476301,0.0015176769020924675
HighBP,0.01734439891615138,0.0005949777490789123
HighChol,0.011612417034044397,0.00030114387334166063
HvyAlcoholConsump,0.004599133554671786,0.000352050934300129
CholCheck,0.004243588621318084,0.0005504887094806035
HeartDiseaseorAttack,0.0021229249512641603,0.00026284755103937155
Sex,0.0019845960475809556,0.00025691479280170863
DiffWalk,0.0012486176899973445,0.0002037103545174794
MentHlth,0.0005847575882354072,0.0001349067073633304
Stroke,0.0002613169162723472,0.00010901709927619342
PhysHlth,0.00022394372280650776,8.336079925287633e-05
NoDocbcCost,0.00011816108569131511,2.3433472277596944e-05
Veggies,0.0001156083978103406,5.8975590787201065e-05
PhysActivity,8.380418162802216e-05,5.501440429098669e-05
Fruits,7.39165114128526e-05,6.266099589011083e-05
Smoker,3.418816462739116e-05,4.0725993577611415e-05
AnyHealthcare,5.826405705955384e-06,1.9005275182117546e-05
